TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
NaN	1316	NaN	NaN	NaN	NaN	990	2787	2500	NaN	0	4	35	19	20	14	0	1	NaN	7	NaN	NaN	NaN	NaN	727	NaN	NaN	NaN
2340	648	2112	NaN	2663	NaN	NaN	NaN	NaN	NaN	3	0	7	7	21	14	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2568	1179	NaN	2164	NaN	NaN	NaN	NaN	NaN	NaN	3	1	80	16	22	14	2	1	NaN	280	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
2535	985	NaN	NaN	2228	NaN	NaN	NaN	NaN	NaN	3	1	74	10	23	14	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2389	1126	NaN	2123	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	24	14	1	1	NaN	7	837	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1262	1716	NaN	NaN	NaN	2839	NaN	NaN	NaN	2	2	48	32	25	14	0	1	NaN	581	NaN	NaN	NaN	187	NaN	NaN	NaN	NaN
NaN	1356	3198	2876	NaN	NaN	1633	NaN	NaN	NaN	2	3	37	21	26	14	0	1	NaN	322	NaN	NaN	NaN	NaN	949	NaN	NaN	NaN
NaN	775	NaN	NaN	NaN	NaN	2238	2454	1794	2624	0	5	43	27	27	14	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2185	1481	NaN	2904	1172	NaN	NaN	NaN	NaN	NaN	3	1	1	1	28	14	1	1	NaN	625	311	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	566	NaN	NaN	NaN	2020	1833	2287	2453	NaN	0	4	39	23	29	14	0	1	NaN	325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1377	1127	888	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	2	2	30	14	1	1	NaN	330	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1147	NaN	NaN	NaN	2627	2094	NaN	1809	NaN	0	5	40	24	31	14	0	1	NaN	486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	593	2378	NaN	NaN	2608	2802	3162	NaN	NaN	1	3	41	25	32	14	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	948	1360	1164	2444	1887	3169	NaN	NaN	NaN	3	2	44	28	1	15	0	1	NaN	225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1449	NaN	1197	1919	NaN	NaN	NaN	NaN	NaN	NaN	3	1	72	8	2	15	2	1	258	NaN	1174	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1338	2004	419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	66	2	3	15	2	1	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2294	1123	1352	2056	1515	2668	NaN	NaN	NaN	NaN	3	1	65	1	4	15	2	1	NaN	1101	184	NaN	421	NaN	NaN	NaN	NaN	NaN
NaN	971	NaN	NaN	NaN	1077	1379	NaN	1574	NaN	0	5	43	27	5	15	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1054	NaN	1399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	14	14	6	15	1	1	1035	378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	369	NaN	2110	NaN	1322	NaN	NaN	NaN	NaN	2	2	38	22	7	15	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2669	1325	2160	2349	2492	NaN	NaN	NaN	NaN	NaN	3	0	71	7	8	15	2	1	552	7	1160	936	NaN	NaN	NaN	NaN	NaN	NaN
NaN	420	1940	NaN	NaN	3192	2532	2362	NaN	NaN	1	3	41	25	9	15	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1187	NaN	NaN	NaN	1969	NaN	2486	1069	NaN	0	4	35	19	10	15	0	1	NaN	227	NaN	NaN	NaN	NaN	NaN	NaN	655	NaN
NaN	1120	2305	1786	1538	2507	NaN	NaN	NaN	NaN	3	1	34	18	11	15	0	1	NaN	933	NaN	NaN	243	679	NaN	NaN	NaN	NaN
2986	885	NaN	2456	2238	NaN	NaN	NaN	NaN	NaN	3	1	16	16	12	15	1	1	NaN	641	379	NaN	NaN	7	NaN	NaN	NaN	NaN
