date_time,user_id,daily_subjnum,unique_id,n
NA,23972609-d324-458d-a438-a9e560c58d57,1,1__23972609-d324-458d-a438-a9e560c58d57,54
NA,451121bf-1368-4e22-b411-644fdb9c2baf,1,1__451121bf-1368-4e22-b411-644fdb9c2baf,54
NA,526a5b4f-4149-4065-a149-036952222e61,1,1__526a5b4f-4149-4065-a149-036952222e61,50
NA,6a935167-a0f5-4399-b6dd-8928fe8bae35,1,1__6a935167-a0f5-4399-b6dd-8928fe8bae35,55
NA,9b36e6e4-bdaa-4ec7-b068-898785e35404,1,1__9b36e6e4-bdaa-4ec7-b068-898785e35404,54
NA,c402ba0c-7a9d-4258-addd-149223724707,1,1__c402ba0c-7a9d-4258-addd-149223724707,54
NA,cf0f2a31-1af8-4d7a-87f3-2117e25e16ce,1,1__cf0f2a31-1af8-4d7a-87f3-2117e25e16ce,59
NA,dbb729a3-d6a3-4bbd-adc6-096c68adf93e,1,1__dbb729a3-d6a3-4bbd-adc6-096c68adf93e,54
NA,eacad4bb-75ef-486a-83e8-f544a56b078a,1,1__eacad4bb-75ef-486a-83e8-f544a56b078a,3
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,2,2__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,56
NA,20060743-de82-417b-b742-e25a4d2b3e42,2,2__20060743-de82-417b-b742-e25a4d2b3e42,61
NA,526a5b4f-4149-4065-a149-036952222e61,2,2__526a5b4f-4149-4065-a149-036952222e61,59
NA,6a935167-a0f5-4399-b6dd-8928fe8bae35,2,2__6a935167-a0f5-4399-b6dd-8928fe8bae35,55
NA,cf0f2a31-1af8-4d7a-87f3-2117e25e16ce,2,2__cf0f2a31-1af8-4d7a-87f3-2117e25e16ce,49
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,3,3__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,60
NA,20060743-de82-417b-b742-e25a4d2b3e42,3,3__20060743-de82-417b-b742-e25a4d2b3e42,45
NA,526a5b4f-4149-4065-a149-036952222e61,3,3__526a5b4f-4149-4065-a149-036952222e61,59
NA,6a935167-a0f5-4399-b6dd-8928fe8bae35,3,3__6a935167-a0f5-4399-b6dd-8928fe8bae35,53
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,4,4__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,49
NA,20060743-de82-417b-b742-e25a4d2b3e42,4,4__20060743-de82-417b-b742-e25a4d2b3e42,57
NA,526a5b4f-4149-4065-a149-036952222e61,4,4__526a5b4f-4149-4065-a149-036952222e61,54
NA,6a935167-a0f5-4399-b6dd-8928fe8bae35,4,4__6a935167-a0f5-4399-b6dd-8928fe8bae35,53
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,5,5__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,54
NA,20060743-de82-417b-b742-e25a4d2b3e42,5,5__20060743-de82-417b-b742-e25a4d2b3e42,53
NA,526a5b4f-4149-4065-a149-036952222e61,5,5__526a5b4f-4149-4065-a149-036952222e61,50
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,6,6__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,54
NA,20060743-de82-417b-b742-e25a4d2b3e42,6,6__20060743-de82-417b-b742-e25a4d2b3e42,54
NA,526a5b4f-4149-4065-a149-036952222e61,6,6__526a5b4f-4149-4065-a149-036952222e61,53
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,7,7__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,53
NA,526a5b4f-4149-4065-a149-036952222e61,7,7__526a5b4f-4149-4065-a149-036952222e61,56
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,8,8__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,53
NA,526a5b4f-4149-4065-a149-036952222e61,8,8__526a5b4f-4149-4065-a149-036952222e61,54
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,9,9__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,51
NA,526a5b4f-4149-4065-a149-036952222e61,9,9__526a5b4f-4149-4065-a149-036952222e61,52
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,10,10__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,60
NA,526a5b4f-4149-4065-a149-036952222e61,10,10__526a5b4f-4149-4065-a149-036952222e61,53
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,11,11__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,52
NA,526a5b4f-4149-4065-a149-036952222e61,11,11__526a5b4f-4149-4065-a149-036952222e61,26
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,12,12__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,54
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,13,13__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,52
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,14,14__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,24
