subject	randomlyGeneratedNumber	order	trialID	condition	clickedTargetAnimalFirst	clickedTargetInstrumentFirst
9	16	27	39	Inst	0	1
9	16	29	43	Inst	0	1
9	16	30	54	mod	0	1
9	16	34	13	Equi	0	1
9	16	35	15	mod	0	1
9	16	36	41	Inst	0	1
9	16	38	16	Inst	0	1
9	16	39	52	mod	1	0
9	16	41	29	Equi	0	1
9	16	42	32	Equi	0	1
9	16	43	30	Equi	0	1
9	16	46	38	Inst	0	1
9	16	48	40	Inst	0	1
9	16	50	37	Inst	0	1
9	16	52	1	Inst	0	1
9	16	53	47	mod	0	1
9	16	54	31	Equi	1	0
9	16	55	28	Equi	0	1
9	16	56	45	Inst	0	1
9	16	57	7	mod	1	0
9	16	58	23	Inst	0	1
9	16	59	18	Inst	0	1
9	16	60	48	mod	1	0
9	16	63	20	Inst	0	1
9	16	65	51	mod	0	1
9	16	67	12	Inst	0	1
9	16	68	24	mod	1	0
9	16	70	25	Inst	0	1
9	16	71	53	mod	1	0
9	16	72	36	Equi	1	0
9	16	73	21	Equi	0	1
9	16	74	46	mod	1	0
9	16	76	33	Equi	0	1
9	16	77	14	mod	0	1
9	16	79	4	Inst	0	1
9	16	80	3	mod	0	1
9	16	81	26	mod	0	1
10	37	4	22	Equi	1	0
10	37	5	49	mod	0	1
10	37	7	27	Equi	0	1
10	37	8	44	Inst	0	1
10	37	9	8	Equi	0	1
10	37	11	9	Inst	0	1
10	37	12	5	Equi	1	0
10	37	14	50	mod	0	0
10	37	15	11	mod	1	0
10	37	16	19	Equi	1	0
10	37	19	6	Equi	0	1
10	37	20	42	Inst	0	1
10	37	21	17	Equi	0	1
10	37	22	34	Equi	0	0
10	37	23	35	Equi	0	1
10	37	25	10	mod	0	1
10	37	26	2	mod	1	0
10	37	27	39	Inst	0	1
10	37	29	43	Inst	0	1
10	37	30	54	mod	0	1
10	37	34	13	Equi	0	1
10	37	35	15	mod	0	0
10	37	36	41	Inst	0	1
10	37	38	16	Inst	0	1
10	37	39	52	mod	1	0
10	37	41	29	Equi	0	1
10	37	42	32	Equi	0	1
10	37	43	30	Equi	0	1
10	37	46	38	Inst	0	1
10	37	48	40	Inst	0	1
10	37	50	37	Inst	0	1
10	37	52	1	Inst	0	1
10	37	53	47	mod	0	1
10	37	54	31	Equi	1	0
10	37	55	28	Equi	0	1
10	37	56	45	Inst	0	1
10	37	57	7	mod	1	0
10	37	58	23	Inst	0	1
10	37	59	18	Inst	0	1
10	37	60	48	mod	1	0
10	37	63	20	Inst	0	1
10	37	65	51	mod	0	1
10	37	67	12	Inst	0	1
10	37	68	24	mod	1	0
10	37	70	25	Inst	0	1
10	37	71	53	mod	1	0
10	37	72	36	Equi	1	0
10	37	73	21	Equi	0	1
10	37	74	46	mod	1	0
10	37	76	33	Equi	1	0
10	37	77	14	mod	0	1
10	37	79	4	Inst	0	1
10	37	80	3	mod	0	1
10	37	81	26	mod	0	1
11	38	4	22	Equi	1	0
11	38	5	49	mod	1	0
11	38	7	27	Equi	1	0
11	38	8	44	Inst	1	0
11	38	9	8	Equi	1	0
11	38	11	9	Inst	1	0
11	38	12	5	Equi	1	0
11	38	14	50	mod	1	0
11	38	15	11	mod	1	0
11	38	16	19	Equi	1	0
11	38	19	6	Equi	0	1
11	38	20	42	Inst	0	1
11	38	21	17	Equi	1	0
11	38	22	34	Equi	1	0
11	38	23	35	Equi	1	0
11	38	25	10	mod	0	1
11	38	26	2	mod	1	0
11	38	27	39	Inst	1	0
11	38	29	43	Inst	1	0
11	38	30	54	mod	1	0
11	38	34	13	Equi	1	0
11	38	35	15	mod	1	0
11	38	36	41	Inst	1	0
11	38	38	16	Inst	1	0
11	38	39	52	mod	1	0
11	38	41	29	Equi	1	0
11	38	42	32	Equi	1	0
11	38	43	30	Equi	1	0
11	38	46	38	Inst	1	0
11	38	48	40	Inst	1	0
11	38	50	37	Inst	1	0
11	38	52	1	Inst	0	1
11	38	53	47	mod	1	0
11	38	54	31	Equi	1	0
11	38	55	28	Equi	0	1
11	38	56	45	Inst	0	1
11	38	57	7	mod	1	0
11	38	58	23	Inst	0	1
11	38	59	18	Inst	0	1
11	38	60	48	mod	1	0
11	38	63	20	Inst	0	1
11	38	65	51	mod	0	1
11	38	67	12	Inst	0	1
11	38	68	24	mod	1	0
11	38	70	25	Inst	0	1
11	38	71	53	mod	1	0
11	38	72	36	Equi	1	0
11	38	73	21	Equi	1	0
11	38	74	46	mod	1	0
11	38	76	33	Equi	1	0
11	38	77	14	mod	1	0
11	38	79	4	Inst	1	0
11	38	80	3	mod	1	0
11	38	81	26	mod	1	0
12	33	4	22	Equi	1	0
12	33	5	49	mod	1	0
12	33	7	27	Equi	0	1
12	33	8	44	Inst	0	1
12	33	9	8	Equi	1	0
12	33	11	9	Inst	0	1
12	33	12	5	Equi	1	0
12	33	14	50	mod	1	0
12	33	15	11	mod	1	0
12	33	16	19	Equi	1	0
12	33	19	6	Equi	0	1
12	33	20	42	Inst	0	1
12	33	21	17	Equi	1	0
12	33	22	34	Equi	0	1
12	33	23	35	Equi	0	1
12	33	25	10	mod	0	1
12	33	26	2	mod	0	1
12	33	27	39	Inst	0	1
12	33	29	43	Inst	0	1
12	33	30	54	mod	0	1
12	33	34	13	Equi	0	1
12	33	35	15	mod	0	1
12	33	36	41	Inst	0	1
12	33	38	16	Inst	0	1
12	33	39	52	mod	0	1
12	33	41	29	Equi	0	1
12	33	42	32	Equi	0	1
12	33	43	30	Equi	0	1
12	33	46	38	Inst	0	1
12	33	48	40	Inst	0	1
12	33	50	37	Inst	0	1
12	33	52	1	Inst	0	1
12	33	53	47	mod	0	1
12	33	54	31	Equi	0	1
12	33	55	28	Equi	0	1
12	33	56	45	Inst	0	1
12	33	57	7	mod	0	1
12	33	58	23	Inst	0	1
12	33	59	18	Inst	0	1
