TA	TI	CA	CI	subj	trialID	order	cond
1496	0	0	0	9	11	15	1
1413	0	0	0	9	19	16	2
0	0	0	0	9	994	17	9
0	236	221	541	9	9917	18	9
799	0	0	0	9	6	19	2
626	701	165	0	9	42	20	0
0	1120	0	208	9	17	21	2
1494	0	0	0	9	34	22	2
0	357	753	382	9	35	23	2
0	0	979	0	9	9912	24	9
117	292	0	881	9	10	25	1
1494	0	0	0	9	2	26	1
682	704	0	0	9	39	27	0
0	0	21	964	9	998	28	9
507	450	337	0	9	43	29	0
300	1111	0	81	9	54	30	1
943	0	261	0	9	9922	31	9
0	1079	90	0	9	9911	32	9
0	199	284	621	9	9913	33	9
634	860	0	0	9	13	34	2
1317	0	0	0	9	15	35	1
879	614	0	0	9	41	36	0
811	0	0	0	9	9914	37	9
283	975	0	233	9	16	38	0
0	499	582	0	9	52	39	1
291	0	1022	0	9	9910	40	9
1195	0	0	0	9	29	41	2
0	1500	0	0	9	32	42	2
1272	223	0	0	9	30	43	2
269	0	288	744	9	9924	44	9
951	487	0	52	9	997	45	9
114	620	0	188	9	38	46	0
0	0	1494	0	9	9920	47	9
442	1051	0	0	9	40	48	0
924	0	39	0	9	999	49	9
51	1440	0	0	9	37	50	0
872	0	0	280	9	9916	51	9
117	1379	0	0	9	1	52	0
869	625	0	0	9	47	53	1
1264	0	0	0	9	31	54	2
293	880	0	316	9	28	55	2
698	525	0	267	9	45	56	0
1497	0	0	0	9	7	57	1
0	1246	0	246	9	23	58	0
0	1242	0	252	9	18	59	0
1420	0	72	0	9	48	60	1
781	423	288	0	9	9923	61	9
715	0	779	0	9	9921	62	9
85	1404	0	0	9	20	63	0
0	0	1255	0	9	9918	64	9
1167	327	0	0	9	51	65	1
373	0	512	0	9	996	66	9
0	1057	0	0	9	12	67	0
1498	0	0	0	9	24	68	1
0	280	778	0	9	9915	69	9
94	1340	0	60	9	25	70	0
1202	0	0	0	9	53	71	1
1500	0	0	0	9	36	72	2
411	313	231	0	9	21	73	2
269	0	160	294	9	46	74	1
255	122	0	459	9	991	75	9
1443	54	0	0	9	33	76	2
1298	142	0	0	9	14	77	1
301	0	0	567	9	9919	78	9
617	877	0	0	9	4	79	0
845	649	0	0	9	3	80	1
566	927	0	0	9	26	81	1
779	350	357	0	10	991	1	9
0	292	666	534	10	992	2	9
886	263	252	91	10	993	3	9
1496	0	0	0	10	22	4	2
0	1494	0	0	10	49	5	1
676	0	411	404	10	995	6	9
0	1496	0	0	10	27	7	2
796	699	0	0	10	44	8	0
0	1496	0	0	10	8	9	2
404	452	226	77	10	992	10	9
472	1021	0	0	10	9	11	0
601	185	463	240	10	5	12	2
1097	0	120	273	10	993	13	9
1494	0	0	0	10	50	14	1
1494	0	0	0	10	11	15	1
1463	0	0	0	10	19	16	2
356	0	1130	0	10	994	17	9
0	0	207	424	10	9917	18	9
423	1070	0	0	10	6	19	2
0	1496	0	0	10	42	20	0
0	1498	0	0	10	17	21	2
1496	0	0	0	10	34	22	2
155	1099	190	48	10	35	23	2
0	0	1043	448	10	9912	24	9
0	1496	0	0	10	10	25	1
1496	0	0	0	10	2	26	1
369	1111	0	9	10	39	27	0
0	194	289	498	10	998	28	9
0	1494	0	0	10	43	29	0
291	1201	0	0	10	54	30	1
349	177	562	400	10	9922	31	9
0	731	377	0	10	9911	32	9
251	293	906	43	10	9913	33	9
11	1483	0	0	10	13	34	2
1495	0	0	0	10	15	35	1
66	1428	0	0	10	41	36	0
1021	0	469	0	10	9914	37	9
336	1082	74	0	10	16	38	0
1498	0	0	0	10	52	39	1
530	0	962	0	10	9910	40	9
0	1495	0	0	10	29	41	2
1071	420	0	0	10	32	42	2
749	398	77	264	10	30	43	2
311	362	817	0	10	9924	44	9
698	559	0	0	10	997	45	9
541	868	0	81	10	38	46	0
625	0	637	0	10	9920	47	9
848	644	0	0	10	40	48	0
468	321	589	112	10	999	49	9
87	1410	0	0	10	37	50	0
521	69	220	301	10	9916	51	9
0	1496	0	0	10	1	52	0
358	809	0	321	10	47	53	1
1494	0	0	0	10	31	54	2
0	1306	0	186	10	28	55	2
1098	394	0	0	10	45	56	0
1227	0	0	77	10	7	57	1
0	791	41	656	10	23	58	0
811	672	0	0	10	18	59	0
1495	0	0	0	10	48	60	1
420	0	0	152	10	9923	61	9
460	251	508	271	10	9921	62	9
691	703	0	0	10	20	63	0
0	0	1496	0	10	9918	64	9
1144	346	0	0	10	51	65	1
0	0	0	0	10	996	66	9
549	943	0	0	10	12	67	0
1496	0	0	0	10	24	68	1
0	668	0	0	10	9915	69	9
757	499	238	0	10	25	70	0
1495	0	0	0	10	53	71	1
1004	0	487	0	10	36	72	2
0	967	264	0	10	21	73	2
1494	0	0	0	10	46	74	1
0	0	0	0	10	991	75	9
845	645	0	0	10	33	76	2
0	1495	0	0	10	14	77	1
742	0	19	731	10	9919	78	9
762	732	0	0	10	4	79	0
147	1103	0	242	10	3	80	1
739	755	0	0	10	26	81	1
415	551	0	378	11	991	1	9
0	475	0	0	11	992	2	9
402	0	268	0	11	993	3	9
724	218	94	210	11	22	4	2
1373	0	0	0	11	49	5	1
690	0	0	0	11	995	6	9
384	368	0	132	11	27	7	2
844	448	0	0	11	44	8	0
1454	0	0	40	11	8	9	2
464	792	220	17	11	992	10	9
704	449	0	338	11	9	11	0
939	351	0	0	11	5	12	2
680	0	592	0	11	993	13	9
1274	0	0	0	11	50	14	1
965	0	0	0	11	11	15	1
927	0	0	0	11	19	16	2
673	143	673	0	11	994	17	9
985	0	240	266	11	9917	18	9
1120	371	0	0	11	6	19	2
1492	0	0	0	11	42	20	0
967	525	0	0	11	17	21	2
1494	0	0	0	11	34	22	2
1206	286	0	0	11	35	23	2
0	0	146	937	11	9912	24	9
662	830	0	0	11	10	25	1
1349	0	0	0	11	2	26	1
